phrase_norm,phrase,lang,count,source,arms,n_models
you,you,en,1290,mined:turbo|v2|v2|v3,music|nonspeech|silence,4
thank you.,Thank you.,en,719,mined:turbo|v2|v2|v3,music|nonspeech|silence,4
terima kasih kerana menonton!,Terima kasih kerana menonton!,mg,160,mined:v2|v3,music|nonspeech,2
sari kata oleh sdi media,Sari kata oleh SDI Media,id,122,mined:v2,nonspeech,1
bye.,Bye.,en,85,mined:turbo|v2|v2|v3,music|nonspeech,4
the end,The End,en,67,mined:turbo|v2|v2|v3,music|nonspeech,4
thank you for watching!,Thank you for watching!,en,59,mined:v2|v2|v3,music|nonspeech,3
you,You,en,55,mined:turbo|v2|v2|v3,music|nonspeech,4
ご視聴ありがとうございました,ご視聴ありがとうございました,ja,52,mined:turbo|v2|v3,nonspeech,3
music,Music,en,45,mined:turbo|v2|v2|v3,music|nonspeech,4
© bf-watch tv 2021,© BF-WATCH TV 2021,fr,44,mined:v2|v3,music|nonspeech,2
thanks for watching!,Thanks for watching!,en,31,mined:v2|v2|v3,music|nonspeech,3
the,The,en,29,mined:turbo|v2|v2|v3,music|nonspeech,4
បានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,បានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,km,29,mined:v2,music|nonspeech,1
продолжение следует...,Продолжение следует...,ru,28,mined:turbo|v3,nonspeech,2
terima kasih.,Terima kasih.,ms,23,mined:turbo|v2|v3|v3,music|nonspeech|silence,4
i'm sorry.,I'm sorry.,en,20,mined:turbo|v2|v2|v3,music|nonspeech,4
amen.,Amen.,de,18,mined:turbo|v2|v3,music|nonspeech|silence,3
"sila berasa bebas untuk menyukai, melanggan, maju dan memberi ganjaran untuk menyokong lajur der spiegel dan diandian.","Sila berasa bebas untuk menyukai, melanggan, maju dan memberi ganjaran untuk menyokong lajur Der Spiegel dan Diandian.",id,18,mined:v2,nonspeech,1
do it.,Do it.,it,16,mined:v2,music,1
© transcript emily beynon,© transcript Emily Beynon,cs,16,mined:v2|v3,music|nonspeech,2
bell,bell,en,16,mined:v2,nonspeech,1
"jangan lupa like, share dan subscribe channel ini untuk dapatkan maklumat terkini.","Jangan lupa like, share dan subscribe channel ini untuk dapatkan maklumat terkini.",id,14,mined:v2,music|nonspeech,1
teksting av nicolai winther,Teksting av Nicolai Winther,no,13,mined:v3,nonspeech,1
sir!,Sir!,en,12,mined:v2,music,1
yeah.,Yeah.,en,12,mined:turbo|v2|v2|v3,music|nonspeech,4
okay.,Okay.,en,12,mined:turbo|v2|v2|v3,nonspeech|silence,4
tuan,Tuan,en,11,mined:v2,music|nonspeech,1
"oh, my god.","Oh, my God.",en,11,mined:turbo|v2|v3,music|nonspeech,3
beeping,Beeping,en,11,mined:v2|v2|v3,nonspeech,3
the,the,en,11,mined:v2,music|nonspeech,1
subtitles by the amara.org community,Subtitles by the Amara.org community,en,11,mined:v3,nonspeech,1
субтитры создавал dimatorzok,Субтитры создавал DimaTorzok,ru,11,mined:turbo|v3,music|nonspeech,2
intro,Intro,en,10,mined:v2,nonspeech,1
masak dengan sedikit minyak.,Masak dengan sedikit minyak.,id,10,mined:v2,nonspeech,1
woo!,Woo!,en,10,mined:turbo|v2|v2|v3,music|nonspeech,4
i'm,I'm,en,10,mined:turbo|v2|v3,music|nonspeech,3
the end,The end,en,10,mined:v2|v3,music|nonspeech,2
bye!,Bye!,en,10,mined:v2,music|nonspeech,1
bell rings,BELL RINGS,en,10,mined:turbo|v2|v3,music|nonspeech,3
the end,THE END,en,10,mined:turbo|v3,music,2
i don't know.,I don't know.,en,9,mined:turbo|v2|v2,music|nonspeech,3
i'm going to go to bed.,I'm going to go to bed.,en,9,mined:v2,music|nonspeech,1
thank you for watching.,Thank you for watching.,en,9,mined:v2|v2|v3,music|nonspeech,3
អូនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,អូនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,km,9,mined:v2,music|nonspeech,1
субтитры предоставил dimatorzok,Субтитры предоставил DimaTorzok,ru,9,mined:v2,music,1
hello.,Hello.,en,8,mined:turbo|v2|v3,nonspeech,3
ah!,Ah!,en,8,mined:turbo|v2|v2|v3,music|nonspeech,4
oh.,Oh.,en,8,mined:turbo|v2|v2|v3,music|nonspeech,4
បូនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,បូនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,km,8,mined:v2,music,1
1.5cm x 1cm,1.5cm x 1cm,en,8,mined:v2,nonspeech,1
редактор субтитров а.семкин корректор а.егорова,Редактор субтитров А.Семкин Корректор А.Егорова,ru,8,mined:turbo,nonspeech,1
tidak.,Tidak.,id,7,mined:v2,music|nonspeech,1
hey!,Hey!,en,7,mined:turbo|v2|v2|v3,music|nonspeech,4
beep,BEEP,en,7,mined:v2|v2|v3,nonspeech,3
i watch i watch i watch,I watch I watch I watch,en,7,mined:v2,silence,1
the next one.,the next one.,en,7,mined:v2,nonspeech,1
i'm going to make a chocolate cake.,I'm going to make a chocolate cake.,en,7,mined:v2|v3,nonspeech,2
субтитры сделал dimatorzok,Субтитры сделал DimaTorzok,ru,7,mined:turbo|v3,nonspeech,2
terima kasih kerana menonton.,Terima kasih kerana menonton.,mg,6,mined:v2|v3,music,2
let's go.,Let's go.,en,6,mined:v2|v3,music,2
i'm going to make a,I'm going to make a,en,6,mined:v2,nonspeech,1
pfft!,Pfft!,en,6,mined:turbo|v2|v2|v3,nonspeech,4
"so,","So,",en,6,mined:turbo|v2|v2|v3,nonspeech,4
bang!,BANG!,en,6,mined:turbo|v2|v2|v3,nonspeech,4
hey,Hey,en,6,mined:turbo|v2|v3,nonspeech,3
チャンネル登録をお願いいたします。,チャンネル登録をお願いいたします。,ja,6,mined:v2|v3,nonspeech,2
sir.,Sir.,en,5,mined:v2,music,1
tuan!,Tuan!,en,5,mined:v2,music,1
hmm.,Hmm.,en,5,mined:turbo|v2|v3,nonspeech,3
gwres i'r ffyrdd.,Gwres i'r ffyrdd.,en,5,mined:v2,music,1
ლილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილი�,ლილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილილი�,ka,5,mined:v2,music,1
the next video.,the next video.,en,5,mined:v2,music|nonspeech,1
1.5cm,1.5cm,en,5,mined:v2,nonspeech,1
boom,BOOM,en,5,mined:v2,nonspeech,1
1.5l 물,1.5L 물,ko,5,mined:v2,nonspeech,1
시청해주셔서 감사합니다.,시청해주셔서 감사합니다.,ko,5,mined:turbo|v2,nonspeech,2
we'll be right back.,We'll be right back.,en,5,mined:turbo|v3,music,2
"oh, yeah.","Oh, yeah.",en,5,mined:turbo|v3,music,2
undertexter av nicolai winther,Undertexter av Nicolai Winther,no,5,mined:v3,nonspeech,1
hjulet.,Hjulet.,en,5,mined:v3,nonspeech,1
kekse,Kekse,fi,5,mined:v3,nonspeech,1
hello everyone.,Hello everyone.,it,5,mined:turbo,nonspeech,1
감사합니다.,감사합니다.,ko,5,mined:turbo,nonspeech,1
i love you.,I love you.,en,4,mined:v2|v2,music|nonspeech,2
what?,What?,en,4,mined:turbo|v2,music|nonspeech,2
bells chiming,BELLS CHIMING,en,4,mined:v2|v3,nonspeech,2
i'm out.,I'm out.,en,4,mined:turbo|v2|v2,music|nonspeech,3
kisah-kisah terkini mengenai penyakit yang menyebabkan keadaan teruk di negara ini.,Kisah-kisah terkini mengenai penyakit yang menyebabkan keadaan teruk di negara ini.,ms,4,mined:v2,nonspeech,1
uh...,Uh...,en,4,mined:turbo|v2|v2|v3,nonspeech,4
ahem.,Ahem.,en,4,mined:turbo|v2|v2|v3,nonspeech,4
"cough, cough, cough, cough, cough.","Cough, cough, cough, cough, cough.",en,4,mined:turbo|v2,nonspeech,2
good.,Good.,en,4,mined:turbo|v2|v2|v3,nonspeech,4
អានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,អានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,km,4,mined:v2,music,1
i'm not a robot.,I'm not a robot.,en,4,mined:v2,nonspeech,1
"[""the star-spangled banner""]","[""The Star-Spangled Banner""]",en,4,mined:v2,nonspeech,1
1.5mm,1.5mm,en,4,mined:v2,nonspeech,1
beep.,Beep.,en,4,mined:turbo|v2|v3,nonspeech,3
terima kasih telah menonton!,Terima kasih telah menonton!,id,4,mined:turbo|v3,music|nonspeech,2
¡gracias!,¡Gracias!,es,4,mined:turbo|v3,music,2
"oh, oh, oh.","Oh, oh, oh.",fi,4,mined:v3,music,1
música,Música,ga,4,mined:turbo|v3,music,2
rødgrød,Rødgrød,da,4,mined:v3,nonspeech,1
バター,バター,ja,4,mined:turbo|v3,nonspeech,2
i'm going to go to the next one.,I'm going to go to the next one.,en,4,mined:turbo,nonspeech,1
"drag before the doctor, they treat","Drag before the doctor, they treat",en,3,mined:v2|v3|v3,music,3
i don't get boners anymore i don't get boners anymore,I don't get boners anymore I don't get boners anymore,en,3,mined:v2|v2|v3,music,3
those lucky ones with the natural healing hands.,Those lucky ones with the natural healing hands.,en,3,mined:turbo|v2|v3,music,3
中文字幕提供,中文字幕提供,zh,3,mined:v2,music,1
"yeah, i really hope that the, you know, next time you and your wife are, your wife mary are here in new york, you come play my program. oh, yeah. you really have to. i mean,","Yeah, I really hope that the, you know, next time you and your wife are, your wife Mary are here in New York, you come play my program. Oh, yeah. You really have to. I mean,",en,3,mined:turbo|v2|v3,music,3
and run till you understand.,And run till you understand.,nb,3,mined:turbo|v2|v3,music,3
please put me down.,Please put me down.,en,3,mined:turbo|v2|v3,music,3
"please feel free to like, subscribe, forward, and reward to support the der spiegel and diandian columns.","Please feel free to like, subscribe, forward, and reward to support the Der Spiegel and Diandian columns.",en,3,mined:v2,music|nonspeech,1
amin.,Amin.,en,3,mined:v2,music,1
"chocolate and peanuts, they taste so good together in my candy bar. in any type of weather, i want some ice cream, chocolate and peanut butter. i want some, will you give me some, please give me some candy.","Chocolate and peanuts, they taste so good together in my candy bar. In any type of weather, I want some ice cream, chocolate and peanut butter. I want some, will you give me some, please give me some candy.",en,3,mined:turbo|v2|v3,music,3
that's the second time that happened to that song.,That's the second time that happened to that song.,en,3,mined:v2|v2|v3,music,3
i want to touch you in the best way possible.,I want to touch you in the best way possible.,en,3,mined:turbo|v2|v3,music,3
kisah-kisah terkini mengenai penyakit yang menyebabkan kematian.,Kisah-kisah terkini mengenai penyakit yang menyebabkan kematian.,ms,3,mined:v2,music|nonspeech,1
right.,Right.,en,3,mined:turbo|v2|v3,nonspeech,3
"beep, beep.","Beep, beep.",en,3,mined:v2|v3,nonspeech,2
ahaha!,Ahaha!,en,3,mined:turbo|v2|v3,nonspeech,3
pembelajaran,Pembelajaran,es,3,mined:v2,nonspeech,1
"cough, cough, cough. cough, cough. cough, cough.","Cough, cough, cough. Cough, cough. Cough, cough.",en,3,mined:turbo|v2|v3,nonspeech,3
"cough, cough, cough.","Cough, cough, cough.",en,3,mined:turbo|v2|v3,nonspeech,3
arrgh!,Arrgh!,en,3,mined:v2|v2|v3,nonspeech,3
pfft.,Pfft.,en,3,mined:v2|v2|v3,nonspeech,3
why?,Why?,en,3,mined:v2|v3,music,2
"i'm a man of my word, i'm a man of my word i'm a man of my word, i'm a man of my word","I'm a man of my word, I'm a man of my word I'm a man of my word, I'm a man of my word",en,3,mined:v2,music,1
we're like dinosaurs it's like being a communist in 2006 now let's get back to you you make me think of brian wilson,We're like dinosaurs It's like being a communist In 2006 Now let's get back to you You make me think of Brian Wilson,en,3,mined:turbo|v2|v3,music,3
i'm a man of my word,I'm a man of my word,en,3,mined:v2,music,1
we go.,We go.,en,3,mined:turbo|v2|v3,music,3
whoa!,Whoa!,en,3,mined:turbo|v2|v3,music,3
សុនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,សុនានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានានាន�,km,3,mined:v2,music,1
the.,The.,en,3,mined:v2|v3,music,2
buh-bye!,Buh-bye!,de,3,mined:v2,nonspeech,1
bell rings,bell rings,en,3,mined:v2,nonspeech,1
