prediction,number of occurrences in noise
thank you,30054
thanks for watching,12525
so,4614
thank you for watching,3131
the,3030
you,2713
oh,2220
okay,1145
i m sorry,939
oh my god,836
bye,681
i m not sure what i m doing here,658
uh,639
meow,581
subtitles by the amara org community,560
ah,515
i,476
yeah,468
bang,466
beep,460
um,453
all right,402
a,381
ha,355
bf watch tv 2021,345
woof,340
wow,311
woo,289
beeping,264
rr,223
hello,207
no,202
is,200
boom,178
hmm,168
hey,157
i don t know,155
oh shit,118
what,115
i m not sure if i can do this,113
come on,113
foreign,106
yes,102
gerrard street,101
shh,101
i m not sure if i should be doing this but,99
me,94
whoa,90
oh yeah,88
aa,88
i m,88
i m not sure what to do with this,85
and,81
the end,78
bell rings,77
i m not going to let you get away with this,76
go,75
mm,72
oh i see,71
ruff,70
applause,69
transcript emily beynon,66
oh no,66
woo hoo,66
i m out,65
i m not sure why i m doing this,64
music,62
grr rr,61
aah,60
i m going to make a,59
welcome,56
vroom,56
i m not sure if i can get the,54
the train is now moving towards the central station,53
i m going to go ahead and do that,53
ow,53
huh,53
i m not sure if i should have used the shield,53
there we go,51
bark,51
screams,50
amen,49
hi,48
i m not sure if you can see it but i m not sure,44
let s go,44
a avaa,44
i love you,43
i m not sure what to do with this guy,43
grr,43
pfft,42
i m going to go get some food,40
i m not sure what to do here,40
baa,40
i m not sure if i can do it,39
woohoo,38
closed captioning provided by the imperial news network,37
birds chirp,37
i m going to go to bed,37
ding,36
oo,36
subtitles by steamteamextra,33
i m going to go get some water,33
run,33
ugh,32
i m not going to do it,32
fire,32
hello and welcome to another episode of the,31
noo oo,31
i m going to try to get the,30
here,30
hello everyone,29
good,29
click,29
ah you,29
i m not sure what that means,29
quack,29
whistle,28
help,28
thanks,27
we ll be right back,27
oh fuck,27
here we go,26
i m not sure if i can get through this,26
welcome to another episode of the,26
roar,26
so until next time bye for now,25
i m going to do it again,25
ready,25
woo oo,25
he,25
i m going to go to the bathroom,24
bleh,24
there,24
screaming,23
oh god,23
welcome to the,23
rawr,23
i m not sure if i should have used the,23
wee,23
now,22
i m not going to do that,21
transcription by eso translation by,21
nice,21
i m not sure if i should have used the shield but i m not sure if i should have used the shield,21
alright,21
ooh,21
ss,21
closed captioning provided by muhsen,20
oh man,20
there you go,20
i m going to go,20
shit,20
i m not sure what the hell that was,20
mwah,20
i m a,20
whee,20
hello everyone welcome to my channel,19
peace,19
baa a,19
z,19
hello friends,18
mm hmm,18
wah,18
ho,18
oh my gosh,17
i m going to go to the other side,17
st paul s church,17
i m going to go get some more,17
i m not sure if you can see this but i m not sure,17
i m going to get you,17
the station is a,17
i m going to go ahead and get my bag,16
fuck,16
that s it,16
and the,16
sigh,16
right,16
the game is based on the original game but the game is based on the original game,15
i m not sure if i should do this but i m not sure,15
yep,15
rr you,15
ee,15
i m not sure if i should have used the flashbang,15
tanya cushman reviewer s,14
one two three,14
laughter,14
i m going to go ahead and get the,14
stop,14
rr rip,14
up,14
exit 159,14
la,14
west yard,13
i m going to go get my dog,13
what are you doing,13
i m going to use a,13
good job,13
welcome to the new york city of new york,13
i m going to go to the next one,12
west ville,12
the you,12
i m going to go ahead and start the engine,12
uh you,12
bells chiming,12
mix well,12
i know,12
aww,12
look,12
boo,12
who oo,12
a aah,12
bum,12
i m going to make a hole in the bottom of the,11
i m going to go ahead and do it,11
i m going to take a quick break and then head back to the,11
yay,11
damn,11
good boy,11
one,11
oh wow,11
surah al fatihah,11
out,11
hup,11
waa a,11
i m not sure if i can get the gun,11
blah,11
thank you very much,10
the game is based on the original game but it s not the original game,10
i m so excited,10
outro music,10
oops,10
laughing,10
i m not going to let you go,10
let s see,10
pfftt tt,10
wait,10
cool,10
it,10
hoo oo,10
oh ho,10
i can t,10
e,10
oh my goodness,9
westminster bridge,9
sorry,9
i m going to try to get out of here,9
holy shit,9
i m going to try to get a better view of the water,9
3 2 1 go,9
oh boy,9
sing,9
i m not sure if this is the best way to do it but i m not sure if it s the best way to do it,9
the train is now moving towards the station,9
i m going to make a little,9
i m going to try to get it out of the way,9
so you,9
hi guys,9
i m going to have to do this again,9
jingle bells,9
siren blares,9
that,9
man,9
buzz z,9
i m not sure if that s the right word but i m not sure if that s the right word,9
oh you,9
down,9
i m not sure if this is the right way to do it but i m not sure if this is the right way,8
i m not sure if this is the best way to do it but i m not sure if this is the best way,8
i m not sure,8
transcribed by eso translated by,8
exit,8
woof woo,8
whistling,8
i got it,8
i m going to drink a glass of water,8
bee end,8
ss you,8
what s up,8
i m home,8
hmm mm,8
beautiful,8
on,8
shh you,8
uh huh,8
i don t know what to do,8
i m not,8
ma,8
water,8
dog,8
a thank you for watching,8
meh,8
welcome to the new york city of new york city,8
prediction,7
look at that,7
welcome to my channel,7
great,7
i m not sure if i m doing it right or not,7
i m not sure why i m doing this but i m not sure,7
i m not sure what i m doing here i m just going to keep going,7
i m going to make a hole in the bottom of the hole,7
fans roar,7
good girl,7
i m going to go ahead and start the recording,7
i m not a robot,7
we ll see you next time,7
captions by nicosubs,7
i m not sure what i m doing,7
fire in the hole,7
i m going to try to eat it with my hands,7
what the fuck,7
ee end,7
i m so sorry,7
got him,7
perfect,7
come here,7
i m not going to do it again,7
aagh,7
i m not sure what that is,7
i m going to make a sauce,7
oop,7
oh my,7
see,7
please,7
i m not sure if you can see the red dot on the screen,7
i m not sure if this is the best way to do it but i m not sure if this is the best way to do it,7
i m not sure if i m going to be able to do it,7
goal,7
i m not sure if i can get the key to the chest,7
this,7
who,7
do,7
oo ooh,7
boop,7
choo,7
noo,7
that s good,6
ta da,6
i m going to go ahead and turn it off,6
the first stage is a bit more difficult but it s not too bad,6
the city of london,6
i m not a monster,6
the first boss is a very important boss it s a very important boss,6
hi guys welcome back to my channel,6
i m going to try to get it,6
what the hell,6
hey guys,6
i m going to go to the right,6
arr rr,6
the city is a city of,6
i m going to make a hole in the bottom of the pot,6
the city of san francisco,6
i m going to take a picture of the,6
i m going to go to the beach,6
i m not sure what to do,6
bzz z,6
i m going to make a new house,6
oh yes,6
uh oh,6
oh hey,6
well,6
good night,6
3 2 1,6
i m going to make a new one,6
audio jungle,6
pop,6
i m not sure if this is the right way to do it but i m not sure if this is the right way to do it,6
cut,6
oof,6
i am,6
tanya cushman reviewer,6
a aah you,6
get him,6
whoop,6
caw,6
watch,6
woo ooh,6
psst,6
haa a,6
audiojungle,6
i m not sure if i can get the sword,6
baby,6
more,6
eh,6
i m a man,6
i m not sure if i can get the headshot,6
i m not sure if this is the best way to do it but i m sure it s the best way to do it,5
the water is very clear,5
st louis railway station,5
