dataset,host,languages,license,gated,role,has_ground_truth_text,notes
mesolitica/Malaysian-STT-Whisper,huggingface,"ms,en,zh,ta,id",unspecified,no,positive_pool,pseudo,"5.86M rows; word+segment timestamps in Whisper token format; labels are Whisper pseudo-labels so they need STT re-verification before use as ground truth"
malaysia-ai/malaysian-youtube,huggingface,"ms,en",unspecified,no,positive_pool,no,"2145 files; raw YouTube audio; needs transcription"
malaysia-ai/malaysian-dialects-youtube,huggingface,"ms,en",cc-by-nc-4.0,no,positive_pool,no,"regional dialects (Kelantan/Sarawak/Sabah etc); NC licence"
malaysia-ai/malaysian-podcast-youtube,huggingface,"ms,en",cc-by-nc-4.0,no,positive_pool,no,"conversational register; closers like terima kasih are frequent here"
malaysia-ai/mandarin-youtube,huggingface,zh,unspecified,no,positive_pool,no,"Malaysian Mandarin"
malaysia-ai/tamil-youtube,huggingface,ta,cc-by-nc-4.0,no,positive_pool,no,"Malaysian Tamil"
mesolitica/Malaysian-TTS,huggingface,ms,unspecified,no,positive_pool,yes,"TTS corpus; clean read speech with scripted text"
mesolitica/Malaysian-Emilia-annotated,huggingface,"ms,en",cc-by-nc-4.0,no,positive_pool,yes,"annotated; NC licence"
mesolitica/IMDA-STT,huggingface,en,unspecified,no,positive_pool,yes,"derived from IMDA National Speech Corpus (Singapore English/Singlish)"
mesolitica/pseudolabel-malaysian-youtube-whisper-large-v3-timestamp,huggingface,"ms,en",unspecified,no,negative_mining,pseudo,"labelled BY whisper-large-v3 - so it is a direct place to mine naturally-occurring large-v3 hallucinations at scale"
mesolitica/malaya-speech-malay-stt,huggingface,ms,unspecified,no,positive_pool,pseudo,"semisupervised Google STT + private data"
SaLTUNIMAS/sarawak-malay-asr,huggingface,ms,cc-by-4.0,no,positive_pool,yes,"Sarawak Malay; permissive licence"
SEACrowd/sarawak_malay,huggingface,zlm,cc0-1.0,no,positive_pool,yes,"CC0 - fully unencumbered"
saurabhy27-outcomes/singlish_speech_corpus,huggingface,en,unspecified,no,positive_pool,yes,"Singlish"
emhaihsan/Synth-Manglish,huggingface,"ms,en",cc-by-4.0,no,positive_pool,yes,"synthetic Manglish code-switching"
huseinzol05/Malay-TTS-Osman,huggingface,ms,unspecified,no,positive_pool,yes,"single-speaker Malay TTS; Yasmin is the companion voice"
malaysia-ai/Multilingual-TTS,huggingface,"zh,en,ms,ta,bn,te",cc-by-nc-4.0,no,positive_pool,yes,"multilingual incl. all four Malaysian languages; NC licence"
google/fleurs (ms_my),huggingface,ms,cc-by-4.0,no,positive_pool,yes,"3740 utterances, human-read Wikipedia; ONLY 1 contains 'terima kasih' - read register, so conversational closers are near-absent"
Speech-data/Malay-Speech-Dataset,huggingface,ms,cc-by-nc-nd-4.0,no,reference_only,yes,"166h; ND licence blocks derivatives - cannot cut clips from it"
Scicom-intl/semantic-vad-eot,huggingface,"en,fr,de,it,ja,ko,...",cc-by-4.0,no,reference_only,yes,"public EOT dataset; schema reference for turn/silence-span layout"
IMDA National Speech Corpus,imda.gov.sg,en,custom-agreement,yes,positive_pool,yes,"Singapore; large; requires signing IMDA's agreement"
ASR-MalCSC,magichub.com,ms,magichub-free-research,yes,positive_pool,yes,"5h Malay conversational, 10 conversations / 5 speaker pairs"
ASR-SMalDuSC,magichub.com,ms,magichub-free-research,yes,positive_pool,yes,"4.8h scripted Malay daily-use, 2839 utterances, 10 speakers"
malaya-speech semisupervised,malaya-speech.readthedocs.io,"ms,en",unspecified,no,positive_pool,pseudo,"93h Malay + 107h Manglish from YouTube at >=90% VAD"
