phrase,lang,source,observed_hallucination_count,note
terima kasih kerana menonton,ms,curated,2,YouTube-outro artefact; near-zero genuine rate
terima kasih,ms,curated,1,canonical ms hallucination AND the most common call-centre closer
terima kasih banyak banyak,ms,curated,1,intensified form
sama-sama,ms,curated,0,reply pair to terima kasih
selamat sejahtera,ms,curated,0,"greeting, high genuine rate"
selamat tinggal,ms,curated,0,farewell
sila tunggu sebentar,ms,curated,0,"hold phrase, very high genuine rate in call centre"
baik encik,ms,curated,0,agent backchannel
jangan lupa subscribe,ms,curated,0,YouTube artefact; near-zero genuine rate
onderstand,af,lexicon_top,2,
شكرا على المشاهدة,ar,lexicon_top,3,
شكرا,ar,lexicon_top,2,
شكرا للمشاهدة,ar,lexicon_top,2,
ɣɒm ɣɒm,as,lexicon_top,3,
i zlədiyiniz üçün təşəkkürlər,az,lexicon_top,2,
қарай қарай,ba,lexicon_top,2,
қауға қауға,ba,lexicon_top,2,
установляйте субтитры на сайте,be,lexicon_top,2,
абонирайте се,bg,lexicon_top,2302209,
Егорова,bg,lexicon_top,70956,
Семкин Корректор А,bg,lexicon_top,68602,
Редактор субтитров А,bg,lexicon_top,68129,
благодаря,bg,lexicon_top,15130,
"Абонирайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господинайте се, господ",bg,lexicon_top,2088,
Корректор А,bg,lexicon_top,1050,
благодаря ви,bg,lexicon_top,1049,
Българхи,bg,lexicon_top,837,
Върху,bg,lexicon_top,531,
Против,bg,lexicon_top,361,
Въпрос,bg,lexicon_top,332,
"Абонирайте се, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините, господините",bg,lexicon_top,325,
Много,bg,lexicon_top,300,
АПЛОДИСМЕНТА,bg,lexicon_top,275,
india,bn,lexicon_top,2,
સ સ સ સ સ સ સ,bn,lexicon_top,2,
merci d'avoir regardé cette vidéo,br,lexicon_top,2,
hvala što pratite kanal,bs,lexicon_top,2,
gràcies,ca,lexicon_top,2,
gràcies per veure'm,ca,lexicon_top,2,
gràcies per veure'ns,ca,lexicon_top,2,
titulky vytvořil johnyx,cs,lexicon_top,136096,
konec,cs,lexicon_top,134857,
Děkuji,cs,lexicon_top,7495,
děkujeme,cs,lexicon_top,5524,
Titulky vytvořil Jirka Kováč,cs,lexicon_top,1660,
Pro,cs,lexicon_top,798,
JohnyX,cs,lexicon_top,778,
Děkuji za pozornost,cs,lexicon_top,693,
Hvala,cs,lexicon_top,656,
Kováček,cs,lexicon_top,597,
Hrv,cs,lexicon_top,425,
vytvořil JohnyX,cs,lexicon_top,407,
Tak,cs,lexicon_top,388,
Proti,cs,lexicon_top,278,
Můžeme,cs,lexicon_top,277,
Danske tekster af Jesper Buhl Scandinavian Text Service 2018,da,lexicon_top,152271,
danske tekster af nicolai winther,da,lexicon_top,128883,
Tak fordi du lyttede med,da,lexicon_top,21659,
Tak fordi du så med,da,lexicon_top,17218,
Tak,da,lexicon_top,16138,
Hvorfor,da,lexicon_top,10744,
Hvad er det,da,lexicon_top,10281,
Danske tekster af Jesper Buhl,da,lexicon_top,3586,
Hvorfor er det,da,lexicon_top,3529,
Tak for at du så med,da,lexicon_top,1683,
Hvad,da,lexicon_top,1648,
For,da,lexicon_top,1354,
Danske tekster af Jesper Buhlsen,da,lexicon_top,1239,
Hvor,da,lexicon_top,1056,
Hvr,da,lexicon_top,782,
Vielen Dank,de,lexicon_top,518,
Entschuldigung,de,lexicon_top,174,
Dank,de,lexicon_top,150,
Wer ist dafür,de,lexicon_top,81,
Enthaltungen,de,lexicon_top,65,
169 in Fiverr,de,lexicon_top,58,
Dagegen,de,lexicon_top,57,
υπότιτλοι authorwave,el,lexicon_top,152341,
ευχαριστώ,el,lexicon_top,21266,
σας ευχαριστώ,el,lexicon_top,9021,
Ωραία,el,lexicon_top,6126,
ευχαριστούμε,el,lexicon_top,1485,
AUTHORWAVE,el,lexicon_top,1467,
Ευχαριστώ πολύ,el,lexicon_top,611,
Κατά,el,lexicon_top,453,
Υποτιτλοι AUTHORWAVE,el,lexicon_top,361,
Σας ευχαριστούμε,el,lexicon_top,262,
Εγκρίνεται,el,lexicon_top,259,
Αποχές,el,lexicon_top,239,
πολύ,el,lexicon_top,184,
Αποχές εγκρίνεται,el,lexicon_top,160,
Απορρίπτεται,el,lexicon_top,128,
thank you,en,curated,31353,highest-count hallucination overall
thanks for watching,en,curated,25053,YouTube artefact; near-zero genuine rate
thank you for watching,en,lexicon_top,6264,
i m not sure what i m doing here,en,lexicon_top,1317,
subtitles by the amara org community,en,lexicon_top,1122,
i m sorry,en,lexicon_top,940,
oh my god,en,lexicon_top,837,
bf watch tv 2021,en,lexicon_top,691,
bye,en,lexicon_top,685,
woof,en,lexicon_top,681,
meow,en,lexicon_top,582,
beeping,en,lexicon_top,529,
bang,en,lexicon_top,466,
beep,en,lexicon_top,460,
all right,en,lexicon_top,402,
please subscribe,en,curated,2,YouTube artefact
thank you for calling,en,curated,0,"call-centre closer, high genuine rate"
please hold,en,curated,0,"call-centre, high genuine rate"
¡Gracias por ver el video,es,lexicon_top,188372,
gracias,es,lexicon_top,166420,
gracias por ver el video,es,lexicon_top,75418,
"Gracias, señor presidente",es,lexicon_top,23074,
CC por Antarctica Films Argentina,es,lexicon_top,17436,
"Gracias, señora presidenta",es,lexicon_top,8787,
Bien,es,lexicon_top,7478,
¡Gracias,es,lexicon_top,4042,
¿Qué,es,lexicon_top,3549,
Chao,es,lexicon_top,2450,
¿Qué es lo que se hace,es,lexicon_top,2450,
¿Qué pasa,es,lexicon_top,2069,
Salud,es,lexicon_top,1779,
Adiós,es,lexicon_top,1317,
video,es,lexicon_top,941,
Kõik,et,lexicon_top,1718351,
Kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,31943,
Kõige,et,lexicon_top,7729,
Kiitos,et,lexicon_top,4342,
See,et,lexicon_top,3830,
Paldies,et,lexicon_top,3448,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1836,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1819,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1791,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1787,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1779,
