phrase_norm,phrase,lang,count,source
абонирайте се,абонирайте се,bg,2302209,granary|hf_noise
kõik,Kõik,et,1718351,granary
ďakujem za pozornosť,ďakujem za pozornosť,sk,1645499,granary|hf_noise
hvala što pratite kanal,Hvala što pratite kanal,sl,988348,granary
hvala,hvala,sl,461494,granary|hf_noise
hvala za pozornost,Hvala za pozornost,sl,351855,granary
hvala na sviđanju,Hvala na sviđanju,sl,307238,granary
hvala na sviđanje,Hvala na sviđanje,sl,272988,granary
¡gracias por ver el video,¡Gracias por ver el video,es,188372,granary
gracias,gracias,es,166420,granary|hf_noise
υπότιτλοι authorwave,υπότιτλοι authorwave,el,152341,granary|hf_noise
danske tekster af jesper buhl scandinavian text service 2018,Danske tekster af Jesper Buhl Scandinavian Text Service 2018,da,152271,granary
sous-titrage société radio-canada,Sous-titrage Société Radio-Canada,fr,150783,granary
namaste,namaste,hu,149325,granary|hf_noise
hvala što pratite kanal,hvala što pratite kanal,hr,146785,granary|hf_noise
titulky vytvořil johnyx,titulky vytvořil johnyx,cs,136096,granary|hf_noise
konec,konec,cs,134857,granary|hf_noise
danske tekster af nicolai winther,danske tekster af nicolai winther,da,128883,granary|hf_noise
ďakujem,Ďakujem,sk,125315,granary
dėkis,Dėkis,lt,121685,granary
paldies,Paldies,lt,111274,granary
tack till elever och personer som hjälpte med videon,Tack till elever och personer som hjälpte med videon,sv,103409,granary
merci,merci,fr,79918,granary|hf_noise
gracias por ver el video,gracias por ver el video,es,75418,granary|hf_noise
егорова,Егорова,bg,70956,granary
семкин корректор а,Семкин Корректор А,bg,68602,granary
редактор субтитров а,Редактор субтитров А,bg,68129,granary
să vă mulțumim pentru vizionare,să vă mulțumim pentru vizionare,ro,64105,granary|hf_noise
nu,nu,sv,56987,granary
textning,Textning,sv,56034,granary
pag,Pag,lt,49533,granary
mulțumit pentru vizionare,MULȚUMIT PENTRU VIZIONARE,ro,47032,granary
la revedere,la revedere,ro,44576,granary|hf_noise
tack till elever och personal vid säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssä,Tack till elever och personal vid Säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssä,sv,41530,granary
ďakuj,Ďakuj,sk,40009,granary
hvala što pratite,Hvala što pratite,sl,37478,granary
să ne vedem la următoarea mea rețetă,să ne vedem la următoarea mea rețetă,ro,32819,granary|hf_noise
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,Kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,31943,granary
thank you,thank you,en,31353,agh_full|granary|hf_noise
ďakujem za pozornosť,Ďakujem za pozornosť,sl,30823,granary
hvala še,Hvala še,sl,29093,granary
dabarėjau,Dabarėjau,lt,26965,granary
mulțumesc,Mulțumesc,ro,26905,granary
köszönöm,Köszönöm,hu,26109,granary
thanks for watching,thanks for watching,en,25053,agh_boh|agh_full|hf_noise
köszönöm szépen,Köszönöm szépen,hu,24607,granary
tack så mycket,Tack så mycket,sv,23877,granary
gracias señor presidente,"Gracias, señor presidente",es,23074,granary
hvala vam,Hvala vam,sl,22922,granary
ačiū,Ačiū,lt,22517,granary
tak fordi du lyttede med,Tak fordi du lyttede med,da,21659,granary
ευχαριστώ,ευχαριστώ,el,21266,granary|hf_noise
ir,Ir,lt,18631,granary
hvala lepa,Hvala lepa,sl,18054,granary
le président m,"le Président, M",fr,17491,granary
cc por antarctica films argentina,CC por Antarctica Films Argentina,es,17436,granary
tak fordi du så med,Tak fordi du så med,da,17218,granary
tak,Tak,da,16138,granary
благодаря,благодаря,bg,15130,granary|hf_noise
dėkis kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"Dėkis, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,15058,granary
taip,Taip,lt,14221,granary
hvala vam,Hvala vam,hr,13292,granary
ar,Ar,lt,12382,granary
nu uitați să distribuiți acest material video pe alte rețele sociale,Nu uitați să distribuiți acest material video pe alte rețele sociale,ro,12082,granary
tack,Tack,sv,11914,granary
ja,Ja,sv,11835,granary
hvorfor,Hvorfor,da,10744,granary
dabarėjimu,Dabarėjimu,lt,10643,granary
hvala š,Hvala š,sl,10578,granary
hvad er det,Hvad er det,da,10281,granary
za pozornosť,za pozornosť,sk,9407,granary
pozornosť,pozornosť,sk,9383,granary|hf_noise
ďakujem,Ďakujem,mt,9190,granary
kiitos,kiitos,fi,9050,granary|hf_noise
σασ ευχαριστώ,σας ευχαριστώ,el,9021,granary|hf_noise
gracias señora presidenta,"Gracias, señora presidenta",es,8787,granary
sra,Sra,pt,8711,granary
mersi,Mersi,ro,8073,granary
kõige,Kõige,et,7729,granary
hvala,Hvala,hr,7568,granary
děkuji,Děkuji,cs,7495,granary
bien,Bien,es,7478,granary
je remercie,Je remercie,fr,7395,granary
hvala na,Hvala na,sl,6979,granary
ďakujem,Ďakujem,lt,6683,granary
tai,Tai,lt,6677,granary
hvala što pratite kanal,Hvala što pratite kanal,mt,6349,granary
thank you for watching,thank you for watching,en,6264,agh_boh|agh_full|hf_noise
hvala za pozornosť,Hvala za pozornosť,sl,6152,granary
ωραία,Ωραία,el,6126,granary
nu uitați să dați like să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale,"Nu uitați să dați like, să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale",ro,5936,granary
děkujeme,děkujeme,cs,5524,granary|hf_noise
aš,Aš,lt,5109,granary
hvala vse,Hvala vse,sl,5016,granary
so,so,en,4615,agh_full|hf_noise
kiitos,Kiitos,et,4342,granary
¡gracias,¡Gracias,es,4042,granary
vi,Vi,da,4039,granary
hvala se,Hvala se,sl,3981,granary
see,See,et,3830,granary
vi,Vi,sv,3767,granary
danske tekster af jesper buhl,Danske tekster af Jesper Buhl,da,3586,granary
¿qué,¿Qué,es,3549,granary
hvorfor er det,Hvorfor er det,da,3529,granary
mulțumesc frumos,Mulțumesc frumos,ro,3477,granary
paldies,Paldies,et,3448,granary
labai,Labai,lt,3331,granary
paldies,paldies,lv,3223,granary|hf_noise
the,the,en,3032,agh_full|hf_noise
от,От,bg,2988,granary
you,you,en,2970,agh_full|granary|hf_noise
