phrase_norm,phrase,lang,count,source,provenance,count_basis
абонирайте се,абонирайте се,bg,2302209,granary|hf_noise,observed,observed
kõik,Kõik,et,1718351,granary,observed,observed
ďakujem za pozornosť,ďakujem za pozornosť,sk,1645499,granary|hf_noise,observed,observed
hvala što pratite kanal,Hvala što pratite kanal,sl,988348,granary,observed,observed
hvala,hvala,sl,461494,granary|hf_noise,observed,observed
hvala za pozornost,Hvala za pozornost,sl,351855,granary,observed,observed
hvala na sviđanju,Hvala na sviđanju,sl,307238,granary,observed,observed
hvala na sviđanje,Hvala na sviđanje,sl,272988,granary,observed,observed
¡gracias por ver el video,¡Gracias por ver el video,es,188372,granary,observed,observed
gracias,gracias,es,166420,granary|hf_noise,observed,observed
υπότιτλοι authorwave,υπότιτλοι authorwave,el,152341,granary|hf_noise,observed,observed
danske tekster af jesper buhl scandinavian text service 2018,Danske tekster af Jesper Buhl Scandinavian Text Service 2018,da,152271,granary,observed,observed
sous-titrage société radio-canada,Sous-titrage Société Radio-Canada,fr,150783,granary,observed,observed
namaste,namaste,hu,149325,granary|hf_noise,observed,observed
hvala što pratite kanal,hvala što pratite kanal,hr,146785,granary|hf_noise,observed,observed
titulky vytvořil johnyx,titulky vytvořil johnyx,cs,136096,granary|hf_noise,observed,observed
konec,konec,cs,134857,granary|hf_noise|translated:en|translated:en,observed,observed
danske tekster af nicolai winther,danske tekster af nicolai winther,da,128883,granary|hf_noise,observed,observed
ďakujem,Ďakujem,sk,125315,granary,observed,observed
dėkis,Dėkis,lt,121685,granary,observed,observed
paldies,Paldies,lt,111274,granary,observed,observed
tack till elever och personer som hjälpte med videon,Tack till elever och personer som hjälpte med videon,sv,103409,granary,observed,observed
merci,merci,fr,79918,granary|hf_noise,observed,observed
gracias por ver el video,gracias por ver el video,es,75418,granary|hf_noise,observed,observed
егорова,Егорова,bg,70956,granary,observed,observed
семкин корректор а,Семкин Корректор А,bg,68602,granary,observed,observed
редактор субтитров а,Редактор субтитров А,bg,68129,granary,observed,observed
să vă mulțumim pentru vizionare,să vă mulțumim pentru vizionare,ro,64105,granary|hf_noise,observed,observed
nu,nu,sv,56987,granary,observed,observed
