phrase_norm,phrase,lang,count,source,source_phrase
baie dankie.,Baie dankie.,af,31353,translated:en,thank you
dankie dat jy gekyk het.,Dankie dat jy gekyk het.,af,25053,translated:en,thanks for watching
dankie dat jy gekyk het.,Dankie dat jy gekyk het.,af,6264,translated:en,thank you for watching
ek is nie seker wat ek hier doen nie,Ek is nie seker wat ek hier doen nie,af,1317,translated:en,i m not sure what i m doing here
onderskrifte deur die amara org gemeenskap,onderskrifte deur die amara org gemeenskap,af,1122,translated:en,subtitles by the amara org community
ek is jammer.,Ek is jammer.,af,940,translated:en,i m sorry
o my god,O my God,af,837,translated:en,oh my god
dis reg.,Dis reg.,af,402,translated:en,all right
ek weet nie,Ek weet nie,af,311,translated:en,i don t know
"o, shit","O, shit",af,237,translated:en,oh shit
ek is nie seker of ek dit kan doen nie,Ek is nie seker of ek dit kan doen nie,af,227,translated:en,i m not sure if i can do this
gerrardstraat,Gerrardstraat,af,203,translated:en,gerrard street
"ek is nie seker of ek dit moet doen nie, maar","Ek is nie seker of ek dit moet doen nie, maar",af,199,translated:en,i m not sure if i should be doing this but
ek is nie seker wat om met hierdie te doen,Ek is nie seker wat om met hierdie te doen,af,171,translated:en,i m not sure what to do with this
gloepringe,Gloepringe,af,155,translated:en,bell rings
ek gaan nie toelaat dat jy ontsnap met hierdie,Ek gaan nie toelaat dat jy ontsnap met hierdie,af,153,translated:en,i m not going to let you get away with this
o ek sien,O ek sien,af,143,translated:en,oh i see
transkripsie emily beynon,transkripsie emily beynon,af,133,translated:en,transcript emily beynon
wooo hoo,Wooo hoo,af,133,translated:en,woo hoo
ek is uit,Ek is uit,af,132,translated:en,i m out
ek is nie seker hoekom ek dit doen nie,Ek is nie seker hoekom ek dit doen nie,af,129,translated:en,i m not sure why i m doing this
grrrr,grrrr,af,123,translated:en,grr rr
ek gaan maak 'n,Ek gaan maak 'n,af,119,translated:en,i m going to make a
kom op,Kom op,af,113,translated:en,come on
