audio_id,audio_duration,e22_reference_text,corrected_reference_text,whisper_large_v2_prediction,whisper_large_v2_label,whisper_large_v2_hallucination_text,whisper_large_v2_hallucination_json,whisper_large_v3_prediction,whisper_large_v3_label,whisper_large_v3_hallucination_text,whisper_large_v3_hallucination_json,whisper_large_v3_turbo_prediction,whisper_large_v3_turbo_label,whisper_large_v3_turbo_hallucination_text,whisper_large_v3_turbo_hallucination_json,crisper_whisper_prediction,crisper_whisper_label,crisper_whisper_hallucination_text,crisper_whisper_hallucination_json,canary_prediction,canary_label,canary_hallucination_text,canary_hallucination_json,canary_flash_prediction,canary_flash_label,canary_flash_hallucination_text,canary_flash_hallucination_json,parakeet_prediction,parakeet_label,parakeet_hallucination_text,parakeet_hallucination_json,phi4_prediction,phi4_label,phi4_hallucination_text,phi4_hallucination_json,granite_prediction,granite_label,granite_hallucination_text,granite_hallucination_json,,split
0_4420696.wav,0.2200625,Greetings.,[INAUDIBLE],,No hallucination,,[], Thank you.,Hallucination or looping,Thank you.,"[{""text"": ""Thank you."", ""start"": 1, ""end"": 11, ""labels"": [""Hallucination""]}]", Thank you.,Hallucination or looping,Thank you.,"[{""text"": ""Thank you."", ""start"": 1, ""end"": 11, ""labels"": [""Hallucination""]}]",Green.,No hallucination,,[],,No hallucination,,[],,No hallucination,,[],Yeah.,Hallucination or looping,Yeah.,"[{""text"": ""Yeah."", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]",Cool.,Hallucination or looping,Cool.,"[{""text"": ""Cool."", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]",great,Hallucination or looping,great,"[{""text"": ""great"", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]",,train
0_4467079.wav,2.7401875,Good afternoon.,good afternoon, afternoon. Welcome.,Hallucination or looping,Welcome.,"[{""text"": ""Welcome."", ""start"": 12, ""end"": 20, ""labels"": [""Hallucination""]}]", Good afternoon. Welcome.,Hallucination or looping,Welcome.,"[{""text"": ""Welcome."", ""start"": 17, ""end"": 25, ""labels"": [""Hallucination""]}]", Good afternoon. Thank you. Welcome.,Hallucination or looping,Welcome.,"[{""text"": ""Welcome."", ""start"": 28, ""end"": 36, ""labels"": [""Hallucination""]}]",Good afternoon.,No hallucination,,[],Good afternoon.,No hallucination,,[],Good afternoon.,No hallucination,,[],Good afternoon.,No hallucination,,[],Thank you for the answer.,Hallucination or looping,for the answer.,"[{""text"": ""for the answer."", ""start"": 10, ""end"": 25, ""labels"": [""Hallucination""]}]",good afternoon,No hallucination,,[],,train
0_4468715.wav,0.360125,Good afternoon.,, Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 6, ""end"": 16, ""labels"": [""Hallucination""]}]", Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 6, ""end"": 16, ""labels"": [""Hallucination""]}]", Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 6, ""end"": 16, ""labels"": [""Hallucination""]}]",Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 5, ""end"": 15, ""labels"": [""Hallucination""]}]",Grass.,Hallucination or looping,Grass.,"[{""text"": ""Grass."", ""start"": 0, ""end"": 6, ""labels"": [""Hallucination""]}]","Ah,",No hallucination,,[],Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 5, ""end"": 15, ""labels"": [""Hallucination""]}]",Good afternoon.,Hallucination or looping,afternoon.,"[{""text"": ""afternoon."", ""start"": 5, ""end"": 15, ""labels"": [""Hallucination""]}]",good afternoon,Hallucination or looping,afternoon,"[{""text"": ""afternoon"", ""start"": 5, ""end"": 14, ""labels"": [""Hallucination""]}]",,train
0_4469836.wav,2.1000625,This is Eduardo San Miguel.,this is eduardo san miguel, This is Eduardo San Miguel. One minute.,Hallucination or looping,One minute.,"[{""text"": ""One minute."", ""start"": 29, ""end"": 40, ""labels"": [""Hallucination""]}]", This is Eduardo San Miguel.,No hallucination,,[], This is Eduardo San Miguel.,No hallucination,,[],This is Eduardo San Miguel.,No hallucination,,[],This is Eduardo San Miguel.,No hallucination,,[],This is Eduardo San Miguel.,No hallucination,,[],This is Eduardo Samiguel.,No hallucination,,[],San Miguel.,No hallucination,,[],this is where the family will live,Hallucination or looping,where the family will live,"[{""text"": ""where the family will live"", ""start"": 8, ""end"": 34, ""labels"": [""Hallucination""]}]",,train
0_4470595.wav,0.380125,Good morning.,[INAUDIBLE],,No hallucination,,[], Good morning.,Hallucination or looping,morning.,"[{""text"": ""morning."", ""start"": 6, ""end"": 14, ""labels"": [""Hallucination""]}]", ...,No hallucination,,[],But.,Hallucination or looping,But.,"[{""text"": ""But."", ""start"": 0, ""end"": 4, ""labels"": [""Hallucination""]}]",Okay.,Hallucination or looping,Okay.,"[{""text"": ""Okay."", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]",,No hallucination,,[],Okay.,Hallucination or looping,Okay.,"[{""text"": ""Okay."", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]","But, uh…",Hallucination or looping,"But, uh…","[{""text"": ""But, uh\u2026"", ""start"": 0, ""end"": 8, ""labels"": [""Hallucination""]}]",good morning,Hallucination or looping,morning,"[{""text"": ""morning"", ""start"": 5, ""end"": 12, ""labels"": [""Hallucination""]}]",,train
0_4470663.wav,1.760125,Okay.,okay," Okay, good.",Hallucination or looping,good,"[{""text"": ""good"", ""start"": 7, ""end"": 11, ""labels"": [""Hallucination""]}]", Okay.,No hallucination,,[], Okay.,No hallucination,,[],Okay.,No hallucination,,[],"Okay, Approval. Good.",Hallucination or looping,Good.,"[{""text"": ""Good."", ""start"": 16, ""end"": 21, ""labels"": [""Hallucination""]}]",Okay. Approbable. Good.,Hallucination or looping,Good,"[{""text"": ""Good"", ""start"": 18, ""end"": 22, ""labels"": [""Hallucination""]}]",Okay.,No hallucination,,[],Okay.,No hallucination,,[],okay,No hallucination,,[],,train
0_4470684.wav,0.2200625,Is mic on?,is, is,No hallucination,,[], is,No hallucination,,[], is,No hallucination,,[],Is.,No hallucination,,[],,No hallucination,,[],,No hallucination,,[],Hmm.,Hallucination or looping,Hmm.,"[{""text"": ""Hmm."", ""start"": 0, ""end"": 4, ""labels"": [""Hallucination""]}]",Is it?,Hallucination or looping,it,"[{""text"": ""it"", ""start"": 3, ""end"": 5, ""labels"": [""Hallucination""]}]",is,No hallucination,,[],,train
0_4481552.wav,0.2200625,Vipul Hi. Hi Rajesh. Hi.,ola, will help.,No hallucination,,[], will have,No hallucination,,[]," Well, have a great day. .",Hallucination or looping,a great day,"[{""text"": ""a great day"", ""start"": 12, ""end"": 23, ""labels"": [""Hallucination""]}]",Well.,No hallucination,,[],What?,Hallucination or looping,What?,"[{""text"": ""What?"", ""start"": 0, ""end"": 5, ""labels"": [""Hallucination""]}]",,No hallucination,,[],Well,No hallucination,,[],Well,No hallucination,,[],well,No hallucination,,[],,train
0_4483733.wav,1.2200625,Hello everyone.,hello everyone, Hello everyone and welcome back to my channel.,Hallucination or looping,welcome back to my channel,"[{""text"": ""welcome back to my channel"", ""start"": 20, ""end"": 46, ""labels"": [""Hallucination""]}]", Hello everyone.,No hallucination,,[]," Hello, everyone.",No hallucination,,[],Hello everyone.,No hallucination,,[],Hello everyone.,No hallucination,,[],Hello everyone. I'm,No hallucination,,[],Hello everyone and,No hallucination,,[],Hello everyone.,No hallucination,,[],hello everyone,No hallucination,,[],,train
0_4483857.wav,5.6400625,"Good morning, ladies and gentlemen, and welcome to Siemens Healthineers Conference Call.",good morning ladies and gentlemen and welcome to siemens healthineers conference call," Good morning, ladies and gentlemen, and welcome to Siemens Healthineers' conference call. As always, I'm your host, Dr. Mary Jo Goodman. Thank you for joining us. We'll see you next time. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye.",Hallucination or looping,"always, I'm your host, Dr. Mary Jo Goodman. Thank you for joining us. We'll see you next time. Bye.; Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye.","[{""text"": ""always, I'm your host, Dr. Mary Jo Goodman. Thank you for joining us. We'll see you next time. Bye."", ""start"": 94, ""end"": 193, ""labels"": [""Hallucination""]}, {""text"": ""Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye."", ""start"": 194, ""end"": 293, ""labels"": [""Looping Hallucination""]}]"," Good morning, ladies and gentlemen, and welcome to Siemens Healthineers Conference Call.",No hallucination,,[]," Good morning, ladies and gentlemen, and welcome to Siemens Healthineers Conference Call.",No hallucination,,[],"Good morning, ladies and gentlemen, and welcome to Siemens Healthineer's conference call. As.",No hallucination,,[],"Good morning, ladies and gentlemen, and welcome to Siemens Health and Ears Conference Call.",No hallucination,,[],Good morning ladies and gentlemen and welcome to Siemens Health and Ears Conference Call.,No hallucination,,[],"Good morning, ladies and gentlemen, and welcome to Siemens Health and Ears Conference Call.",No hallucination,,[],"Good morning, ladies and gentlemen, and welcome to Siemens Healthineers Conference Call.",No hallucination,,[],good morning ladies and gentlemen and welcome to siemens healthineers conference call,No hallucination,,[],,train
0_4483912.wav,1.54,Good morning everyone.,good morning everyone," Good morning, everyone. Well, it's a good morning.",Hallucination or looping,it's a good morning.,"[{""text"": ""it's a good morning."", ""start"": 31, ""end"": 51, ""labels"": [""Hallucination""]}]"," Good morning, everyone.",No hallucination,,[]," Good morning, everyone.",No hallucination,,[],Good morning everyone. While.,No hallucination,,[],Good morning everyone.,No hallucination,,[],"Good morning everyone. Well,",No hallucination,,[],Good morning everyone.,No hallucination,,[],"Good morning, everyone.",No hallucination,,[],good morning everyone,No hallucination,,[],,train
